 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Caffe Latte ohne Sirup here;0;0;10;18;28;33;48;48;31;38;38;32;16;6;0;0;0
Caffe Latte ohne Sirup to go;0;7;26;22;16;12;14;17;33;32;15;15;9;2;0;0;0
Cappuccino groﬂ  here;0;2;12;14;18;18;30;27;32;28;44;24;14;3;1;0;0
Cappuccino groﬂ  to go;0;5;18;24;16;14;15;16;10;15;16;9;5;3;2;0;0
Cappuccino klein  here;0;0;5;10;9;25;73;68;50;33;44;35;28;5;1;0;0
Cappuccino klein  to go;0;1;3;11;4;3;5;16;8;11;24;13;6;5;0;0;0
Chai Tea groﬂ Chai Banana here;0;0;0;0;2;4;0;1;2;5;3;4;7;1;0;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0
Chai Tea groﬂ Chai Tea Latte here;0;0;1;4;4;12;6;10;18;27;19;12;8;6;0;0;0
Chai Tea groﬂ Chai Tea Latte to go;0;1;1;1;1;3;1;1;5;2;11;4;3;3;0;0;0
Chai Tea klein Chai Banana here;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;0;1;0;2;0;7;12;4;7;6;13;10;8;3;0;0;0
Chai Tea klein Chai Tea Latte to go;0;1;1;1;0;0;3;3;2;5;1;1;3;2;0;0;0
Chocolate groﬂ Bio-Kakao here;0;0;0;2;1;0;0;0;0;1;0;1;0;3;0;0;0
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0
Chocolate groﬂ black bring in;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Chocolate groﬂ black here;0;0;2;1;2;5;4;3;10;4;9;1;5;1;0;0;0
Chocolate groﬂ black to go;0;0;3;0;0;1;0;1;3;1;3;0;1;1;0;0;0
Chocolate groﬂ white here;0;0;0;2;0;1;1;1;1;6;3;4;1;0;0;0;0
Chocolate groﬂ white to go;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0
Chocolate klein Bio-Kakao here;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chocolate klein black here;0;0;0;1;1;3;14;8;11;4;12;6;6;2;2;0;0
Chocolate klein black to go;0;0;0;1;0;1;0;0;4;2;3;1;4;2;0;0;0
Chocolate klein mit Sirup to go;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chocolate klein white here;0;0;0;0;0;1;1;1;3;2;2;4;1;2;0;0;0
Chocolate klein white to go;0;0;0;0;0;1;0;0;2;0;1;1;0;3;0;0;0
Cookie here;0;0;2;3;10;6;14;15;32;16;30;22;15;2;0;0;0
Cookie to go;0;0;2;7;6;9;8;15;13;10;9;13;4;1;0;0;0
Cool Latte Iced Caffe here;0;0;0;2;4;3;6;12;16;14;11;5;5;4;0;0;0
Cool Latte Iced Caffe to go;0;0;1;0;2;3;8;15;7;12;21;8;4;7;0;0;0
Cool Latte Iced Espresso here;0;0;0;2;0;0;4;3;4;5;2;3;0;1;0;0;0
Cool Latte Iced Espresso to go;0;0;0;0;0;0;0;2;2;0;4;2;1;2;0;0;0
Cool Latte Iced Macchiato here;0;0;1;1;0;1;11;25;33;25;33;18;9;3;0;0;0
Cool Latte Iced Macchiato to go;0;0;2;4;3;3;9;14;19;15;27;15;6;4;0;0;0
Donut here;0;1;1;3;7;15;13;23;20;15;34;24;13;3;1;0;0
Donut to go;0;0;1;6;2;15;11;7;13;13;23;9;7;10;0;0;0