 Datum,01.09.11,02.09.11,03.09.11,04.09.11,05.09.11,06.09.11,07.09.11,08.09.11,09.09.11,10.09.11,11.09.11,12.09.11,13.09.11,14.09.11,15.09.11,16.09.11,17.09.11,18.09.11,19.09.11,20.09.11,21.09.11,22.09.11,23.09.11,24.09.11,25.09.11,26.09.11,27.09.11,28.09.11,29.09.11,30.09.11,31.09.11
Donut here,4,9,1,3,5,6,11,8,16,12,8,6,2,9,3,6,23,8,4,4,2,5,9,9,4,3,4,3,1,3,0
Donut to go,3,2,2,1,2,4,0,6,3,8,0,3,0,1,0,0,1,10,3,1,3,2,1,9,7,1,2,1,5,4,0
Eis here,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Eis to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eiskaffee here,4,6,11,11,4,2,4,1,3,11,7,5,4,2,4,12,8,2,0,1,2,4,2,10,8,3,6,5,4,3,0
Eiskaffee to go,3,1,2,0,2,1,0,0,0,3,2,4,0,2,2,2,3,3,0,0,3,0,2,4,5,3,1,6,4,4,0
Eisschokolade here,1,4,7,4,2,4,2,1,10,10,6,10,4,4,5,3,8,0,4,1,4,5,3,6,2,6,3,5,7,8,0
Eisschokolade to go,2,5,3,2,3,2,0,0,0,1,3,2,1,0,3,2,2,1,1,0,0,0,2,6,1,3,1,0,1,3,0
Eistee here,3,4,4,0,0,5,0,2,3,7,6,2,4,4,1,8,4,1,0,0,1,0,0,3,6,3,4,1,4,2,0
Eistee to go,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,2,0,1,0,1,2,0
Espresso groﬂ Barista here,0,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Espresso groﬂ Barista to go,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Cuba here,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Espresso groﬂ Cuba to go,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Lungo here,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Macchiato here,0,0,0,1,2,0,3,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0
Espresso groﬂ Macchiato to go,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Originale here,1,1,4,1,3,2,4,1,5,2,3,0,0,0,5,1,2,1,3,2,1,0,5,0,2,2,2,2,0,1,0
Espresso groﬂ Originale to go,1,0,0,1,2,0,0,1,1,0,0,0,1,5,0,0,0,0,0,1,1,1,1,0,1,1,2,2,1,2,0
Espresso groﬂ Unplugged here,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Espresso groﬂ Unplugged to go,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Espresso klein Barista here,1,1,0,0,1,0,1,2,0,3,2,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Espresso klein Barista to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Espresso klein Cuba here,1,0,0,0,1,0,0,2,1,2,3,2,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
Espresso klein Cuba to go,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Espresso klein Lungo here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Espresso klein Lungo to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso klein Macchiato here,4,0,2,1,1,2,5,0,2,2,1,3,3,0,5,0,2,1,2,1,2,4,0,3,0,0,0,3,0,3,0
Espresso klein Macchiato to go,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Espresso klein Orange here,0,0,0,0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Espresso klein Orange to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Espresso klein Originale here,6,6,12,2,7,6,6,3,1,5,10,9,1,2,6,4,4,4,4,2,5,2,3,6,7,2,4,6,1,4,0
Espresso klein Originale to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0
Espresso klein Unplugged here,2,2,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Espresso klein Unplugged to go,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espresso Latte here,5,2,3,3,4,7,3,6,3,3,1,6,5,3,1,2,2,2,7,2,1,1,5,6,2,2,2,2,1,2,0
Espresso Latte to go,2,2,2,1,0,2,2,2,2,0,1,2,2,0,1,4,2,4,2,0,2,1,6,0,1,3,1,4,0,0,0
Frappe black here,3,5,1,2,3,3,0,2,0,2,7,5,2,1,2,3,0,0,0,0,0,0,6,6,3,3,2,1,9,5,0
Frappe black to go,3,1,4,1,1,0,1,1,1,4,5,2,3,2,0,1,1,0,0,1,0,0,3,3,7,2,6,3,1,6,0
Frappe white here,1,2,5,1,0,1,1,0,0,5,4,3,3,2,3,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frappe white to go,7,3,10,2,1,1,0,2,2,3,2,5,1,0,0,6,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Fruchtsaft frisch groﬂ  here,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Fruchtsaft frisch groﬂ  to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruchtsaft frisch klein  here,1,1,0,0,0,0,0,3,4,0,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,0,0
Fruchtsaft frisch klein  to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Iced Chai Latte here,5,0,5,1,2,4,0,0,2,3,5,3,3,1,0,4,2,1,0,2,1,2,3,5,1,4,0,1,3,3,0
Iced Chai Latte to go,3,2,1,0,6,2,0,0,2,5,2,0,0,1,0,0,4,0,2,0,0,1,1,3,2,5,0,4,1,3,0
Iced Espresso here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Iced Espresso to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Kaffee here,13,7,7,9,11,9,5,16,7,9,5,11,5,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffee to go,1,2,1,0,0,3,2,1,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Barista here,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Barista to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Coffeinfrei to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Cuba to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Originale to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Unplugged to go,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Barista here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kaffeeverkauf Espressobohnen klein Espresso Cuba to go,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Originale here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kaffeeverkauf Espressobohnen klein Espresso Originale to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged here,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged to go,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Kaffeeverkauf Goldline Blue Mountain here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Goldline Blue Mountain to go,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Kenya Arabica AA here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Mexiko Organico here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Mexiko Organico to go,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein ƒthiopischer Mocca here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kaffeeverkauf sortenrein klein ƒthiopischer Mocca to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Costa Rica here,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Costa Rica to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Guatemala to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein India Malabar here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Java here,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Java to go,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffeeverkauf sortenrein klein Kenya Arabica AA here,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Maragogype to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Kaffeeverkauf sortenrein klein Mexiko Organico to go,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Costa Rica here,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ India Malabar here,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kaffegetr‰nk groﬂ India Malabar to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Mexiko Organico here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
Kaffegetr‰nk groﬂ Mexiko Organico to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffegetr‰nk klein Costa Rica here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk klein Costa Rica to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kaffegetr‰nk klein Kenya Arabica AA here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk klein Mexiko Organico here,1,1,0,1,1,1,1,0,2,0,1,1,0,1,1,2,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
Kaffegetr‰nk klein Peru here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Kaffegetr‰nk klein Wiener Melange here,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,1,0
Kaffespezialit‰t Blue Mountain here,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Cafe Creme here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Cafe Creme to go,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Wiener Melange to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung klein Cafe Creme here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung klein Cafe Creme to go,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung klein Wiener Melange to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffezusatz Espresso Shot here,1,0,1,0,3,0,1,3,1,0,0,2,0,0,2,2,1,1,1,0,0,0,2,6,0,0,0,1,1,0,0
Kaffezusatz Espresso Shot to go,1,1,0,0,1,0,0,0,2,0,0,0,4,1,0,1,0,2,1,1,1,3,0,1,0,2,1,0,0,1,0
Kaffezusatz Flavour Shot here,1,5,4,1,2,3,3,4,3,5,0,1,2,2,4,2,4,1,1,1,4,1,7,5,1,1,2,0,6,0,0
Kaffezusatz Flavour Shot to go,0,1,5,0,2,1,1,0,0,2,1,0,0,2,0,0,1,0,0,1,2,0,4,4,1,5,1,2,0,6,0
Kaffezusatz Lac.-frei here,7,6,6,3,9,6,7,9,6,7,2,4,4,6,4,2,4,1,6,4,5,3,4,3,4,3,7,9,6,1,0
Kaffezusatz Lac.-frei to go,6,5,2,1,2,6,2,2,2,3,2,2,1,1,2,6,2,1,0,2,3,0,3,2,7,1,6,2,2,3,0
Kaffezusatz Sahne here,0,1,1,1,0,0,3,2,0,0,1,0,1,3,1,0,3,2,1,1,0,1,0,0,0,0,1,0,0,2,0
Kaffezusatz Sahne to go,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffezusatz Soja here,3,3,5,3,3,7,4,8,3,6,1,4,1,4,1,4,5,6,3,4,3,4,7,5,2,3,5,2,6,3,0
Kaffezusatz Soja to go,1,4,3,0,2,0,1,1,0,3,1,1,1,2,0,0,2,1,2,3,2,2,2,7,0,3,0,2,1,2,0
Kapuziner groﬂ  here,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
