 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Caffe Latte ohne Sirup here;0;5;8;24;38;51;54;62;80;50;60;37;14;7;0;0;0
Caffe Latte ohne Sirup to go;0;13;30;18;32;28;19;28;21;26;21;11;7;3;0;0;0
Cappuccino groﬂ  here;0;5;27;18;21;34;36;37;36;47;32;42;17;9;0;0;0
Cappuccino groﬂ  to go;0;1;24;18;6;10;14;16;17;24;21;11;2;4;0;0;0
Cappuccino klein  here;0;3;9;14;13;40;86;74;53;53;48;34;23;18;0;0;0
Cappuccino klein  to go;0;0;1;10;5;8;12;12;10;11;21;16;9;6;0;0;0
Chai Tea groﬂ Chai Banana here;0;0;0;1;0;3;2;1;1;0;0;0;3;0;0;0;0
Chai Tea groﬂ Chai Banana to go;0;0;0;0;3;0;2;0;0;2;0;0;0;0;0;0;0
Chai Tea groﬂ Chai Tea Latte here;0;5;4;3;8;10;10;13;16;25;17;24;17;7;0;0;0
Chai Tea groﬂ Chai Tea Latte to go;0;1;2;4;1;2;3;4;7;5;6;3;0;5;0;0;0
Chai Tea klein Chai Banana here;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Chai Tea klein Chai Banana to go;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chai Tea klein Chai Tea Latte here;0;1;0;1;3;1;9;13;15;17;15;10;7;3;0;0;0
Chai Tea klein Chai Tea Latte to go;0;1;0;1;1;1;4;1;3;3;2;5;3;2;0;0;0
Chocolate groﬂ Bio-Kakao here;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0
Chocolate groﬂ Bio-Kakao to go;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0
Chocolate groﬂ black here;0;0;3;6;4;7;5;4;6;11;16;4;5;5;0;0;0
Chocolate groﬂ black to go;0;0;1;4;2;0;3;2;3;2;6;4;0;5;0;0;0
Chocolate groﬂ Marshmallow Chocolate to go;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Chocolate groﬂ white here;0;0;0;3;0;4;1;1;2;6;3;6;2;2;0;0;0
Chocolate groﬂ white to go;0;0;1;0;1;0;1;1;2;2;2;3;0;0;0;0;0
Chocolate klein Bio-Kakao here;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0
Chocolate klein Bio-Kakao to go;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Chocolate klein black here;0;0;4;5;3;1;20;16;13;15;14;13;4;3;0;0;0
Chocolate klein black to go;0;0;2;2;1;5;1;3;2;2;3;2;3;1;0;0;0
Chocolate klein white here;0;0;0;0;0;3;4;7;3;1;5;4;2;0;0;0;0
Chocolate klein white to go;0;0;0;0;0;1;3;1;3;1;0;0;0;0;0;0;0
Cookie here;0;4;2;5;7;9;11;16;22;18;26;12;10;4;0;0;0
Cookie to go;0;4;5;6;1;8;8;6;7;12;11;10;3;2;0;0;0
Cool Latte Iced Caffe here;0;0;2;2;2;4;9;15;11;19;13;18;3;2;0;0;0
Cool Latte Iced Caffe to go;0;0;2;3;1;3;2;15;12;19;13;9;3;3;0;0;0
Cool Latte Iced Espresso here;0;0;1;0;1;4;2;7;5;4;3;4;4;0;0;0;0
Cool Latte Iced Espresso to go;0;0;0;0;0;1;0;5;1;7;7;5;0;0;0;0;0
Cool Latte Iced Macchiato here;0;0;0;1;1;6;16;34;38;35;17;18;15;4;0;0;0
Cool Latte Iced Macchiato to go;0;0;1;0;2;6;14;16;10;25;15;10;2;2;0;0;0
Donut here;0;0;2;11;7;14;15;18;26;33;34;37;11;5;0;0;0
Donut to go;0;0;5;3;54;9;8;11;8;13;11;9;10;2;0;0;0