 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Chocolate groﬂ white here,0,0,0,0,0,1,5,1,5,7,5,4,3,2,0,0,0
Chocolate groﬂ white to go,0,0,0,0,0,1,0,2,6,2,1,3,3,0,0,0,0
Chocolate klein Bio-Kakao here,0,0,0,2,0,1,0,1,2,1,3,1,1,0,0,0,0
Chocolate klein Bio-Kakao to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chocolate klein black here,0,2,3,6,9,8,11,24,30,24,28,22,10,7,0,0,0
Chocolate klein black to go,0,0,0,0,1,1,2,3,4,5,10,9,0,4,0,0,0
Chocolate klein white here,0,0,2,5,6,2,10,9,2,3,4,11,7,2,0,0,0
Chocolate klein white to go,0,1,0,0,0,2,0,1,0,1,3,3,2,0,0,0,0
Cookie here,0,0,0,5,15,18,33,33,21,29,40,35,21,8,1,0,0
Cookie to go,0,1,5,11,7,6,10,7,20,14,14,14,11,4,2,0,0
Cool Latte Iced Caffe here,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Cool Latte Iced Caffe to go,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Cool Latte Iced Espresso here,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Cool Latte Iced Macchiato here,0,0,0,0,1,1,2,4,3,4,4,2,2,1,0,0,0
Cool Latte Iced Macchiato to go,0,0,0,0,0,1,0,2,0,5,1,1,0,0,0,0,0
Donut here,0,1,1,2,10,14,16,24,27,32,49,33,11,11,0,0,0
Donut to go,0,0,0,14,10,15,12,9,16,26,12,11,15,9,1,0,0
Eiskaffee here,0,0,0,0,1,0,0,1,3,7,3,3,0,2,0,0,0
Eiskaffee to go,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0
Eisschokolade here,0,0,0,0,0,1,2,5,0,10,7,4,3,5,0,0,0
Eisschokolade to go,0,0,0,0,0,0,1,2,4,7,5,3,0,0,1,0,0
Eistee here,0,0,0,0,0,1,1,3,1,10,6,4,4,3,0,0,0
Eistee to go,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
Espresso groﬂ Barista here,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0
Espresso groﬂ Barista to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Espresso groﬂ Cuba here,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0
Espresso groﬂ Cuba to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Espresso groﬂ Macchiato here,0,0,3,2,0,2,1,0,2,3,1,1,0,1,0,0,0
Espresso groﬂ Macchiato to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Espresso groﬂ Originale here,0,0,1,2,0,3,13,8,8,9,7,2,1,0,0,0,0
Espresso groﬂ Originale to go,0,0,1,0,0,1,1,2,2,0,1,0,0,0,0,0,0
Espresso groﬂ Unplugged here,0,0,0,0,0,0,2,5,1,0,3,1,0,0,0,0,0
Espresso klein Barista here,0,0,0,0,0,2,2,12,3,3,1,2,0,0,0,0,0
Espresso klein Barista to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Espresso klein Cuba here,0,0,0,0,1,0,4,7,3,0,3,0,0,1,0,0,0
Espresso klein Lungo here,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0
Espresso klein Lungo to go,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Espresso klein Macchiato here,0,0,0,0,1,5,4,9,9,5,2,3,3,1,0,0,0
Espresso klein Macchiato to go,0,1,0,0,0,0,1,2,2,0,1,0,2,0,1,0,0
Espresso klein Orange here,0,0,0,0,3,0,2,3,2,0,0,1,3,5,1,0,0
Espresso klein Originale here,0,0,1,6,0,6,14,22,7,23,8,12,4,5,0,0,0
Espresso klein Originale to go,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0
Espresso klein Unplugged here,0,0,0,0,2,0,2,3,4,3,3,2,1,1,0,0,0
Espresso klein Unplugged to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Espresso Latte here,0,0,1,3,3,4,17,22,12,11,18,12,2,1,0,0,0
Espresso Latte to go,0,0,3,3,3,1,6,2,2,1,2,2,0,1,0,0,0
Frappe black here,0,0,0,0,0,1,0,1,6,4,6,5,2,0,0,0,0
Frappe black to go,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Frappe white here,0,0,0,0,0,0,0,1,1,4,1,2,2,1,0,0,0
Frappe white to go,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0
Fruchtsaft frisch groﬂ  here,0,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0
Fruchtsaft frisch groﬂ  to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fruchtsaft frisch klein  here,0,0,4,1,1,5,2,3,1,1,3,2,0,0,0,0,0
Heiﬂe S‰fte Heiﬂe Orange here,0,0,0,0,2,2,0,0,0,0,2,2,3,0,0,0,0
Heiﬂe S‰fte Heiﬂe Orange to go,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Heiﬂe S‰fte Heiﬂe Zitrone here,0,0,2,2,1,1,0,4,4,5,7,9,0,1,0,0,0
Heiﬂe S‰fte Heiﬂe Zitrone to go,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Heiﬂe S‰fte Heiﬂer Apfel here,0,0,0,0,0,2,3,0,1,3,5,1,0,1,0,0,0
Heiﬂe S‰fte Heiﬂer Apfel to go,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
Iced Chai Latte here,0,0,0,0,0,0,0,1,1,3,0,3,3,0,0,0,0
Iced Chai Latte to go,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0
Iced Espresso here,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Kaffee here,0,1,0,3,16,18,33,49,27,23,20,36,10,5,0,0,0
Kaffee to go,0,0,3,1,2,1,9,9,5,5,9,7,2,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Barista to go,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Cuba here,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Cuba to go,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Originale here,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Espresso Originale to go,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen groﬂ Unplugged to go,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Barista here,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Barista to go,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Cuba here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Cuba to go,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Espresso Originale here,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
Kaffeeverkauf Espressobohnen klein Espresso Originale to go,0,0,0,0,1,1,3,1,0,1,0,0,1,1,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kaffeeverkauf Espressobohnen klein Unplugged to go,0,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,0
Kaffeeverkauf Goldline Blue Mountain to go,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Costa Rica to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Guatemala to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ India Malabar to go,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Java to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Kenya Arabica AA to go,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Mexiko Organico to go,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein groﬂ Peru to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein ƒthiopischer Mocca to go,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Guatemala here,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein India Malabar here,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Java to go,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Kenya Arabica AA here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kaffeeverkauf sortenrein klein Kenya Arabica AA to go,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Kaffeeverkauf sortenrein klein Mexiko Organico to go,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Kaffegetr‰nk groﬂ ƒthiopischer Mocca here,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Guatemala here,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Kaffegetr‰nk groﬂ Guatemala to go,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ India Malabar here,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Kaffegetr‰nk groﬂ Java here,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Kenya Arabica AA here,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kaffegetr‰nk groﬂ Mexiko Organico here,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0
Kaffegetr‰nk groﬂ Wiener Melange here,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Kaffegetr‰nk klein ƒthiopischer Mocca to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kaffegetr‰nk klein Kenya Arabica AA here,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Kaffegetr‰nk klein Kenya Arabica AA to go,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kaffegetr‰nk klein Mexiko Organico here,0,0,0,0,0,0,0,0,0,1,1,4,7,1,0,0,0
Kaffegetr‰nk klein Peru here,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kaffegetr‰nk klein Wiener Melange here,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Cafe Creme to go,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Kaffeverkauf Hausmischung groﬂ Wiener Melange here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaffeverkauf Hausmischung klein Cafe Creme to go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaffezusatz Espresso Shot here,0,0,0,3,2,1,0,2,6,3,3,5,1,2,0,0,0
Kaffezusatz Espresso Shot to go,0,0,0,1,0,2,2,3,3,6,1,1,1,0,0,0,0
Kaffezusatz Flavour Shot here,0,0,0,1,0,4,6,15,6,4,6,4,8,1,0,0,0
Kaffezusatz Flavour Shot to go,0,0,4,0,2,0,3,5,2,7,3,1,0,1,0,0,0
Kaffezusatz Lac.-frei here,0,1,1,9,5,3,20,20,12,9,16,16,9,3,1,0,0
Kaffezusatz Lac.-frei to go,0,0,1,1,1,3,6,4,5,9,14,1,2,2,0,0,0
Kaffezusatz Sahne here,0,0,0,0,0,0,0,3,12,3,10,11,2,3,0,0,0
Kaffezusatz Sahne to go,0,0,0,2,0,0,0,1,2,1,2,4,0,1,0,0,0
Kaffezusatz Soja here,0,1,0,12,7,9,18,17,17,20,6,23,7,1,1,0,0
Kaffezusatz Soja to go,0,0,3,3,1,1,5,3,7,10,9,8,4,0,0,0,0
Kapuziner groﬂ  here,0,0,0,0,1,3,1,1,0,3,0,0,0,0,0,0,0
Kapuziner groﬂ  to go,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Kapuziner klein  here,0,0,1,0,0,0,0,1,3,3,1,2,3,0,0,0,0
Kapuziner klein  to go,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuchen here,0,0,0,0,3,0,16,14,16,32,28,26,6,1,0,0,0
Kuchen to go,0,0,0,0,0,1,4,1,1,5,2,0,0,0,0,0,0
Latte Macchiato mit Sirup here,0,0,9,6,16,16,43,57,55,48,79,53,26,9,0,0,0
Latte Macchiato mit Sirup to go,0,4,12,11,12,17,20,28,52,39,45,27,15,4,1,0,0
Latte Macchiato ohne Sirup here,0,1,11,45,44,81,128,118,109,124,127,116,58,20,0,0,0
Latte Macchiato ohne Sirup to go,0,4,25,29,8,18,36,45,55,60,60,40,13,4,0,0,0
Milk groﬂ  here,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
Milk groﬂ  to go,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Milk klein  here,0,0,0,2,0,0,1,2,2,0,1,0,0,0,0,0,0
Milk klein  to go,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
Mocca groﬂ black here,0,0,0,1,3,9,3,4,9,12,17,7,2,3,0,0,0
Mocca groﬂ black to go,0,2,0,2,3,0,2,11,5,7,9,5,2,0,0,0,0
Mocca groﬂ white here,0,0,0,1,2,6,6,14,8,8,13,21,4,2,0,0,0
Mocca groﬂ white to go,0,0,1,2,2,4,2,11,13,7,13,10,3,0,0,0,0
Mocca klein black here,0,0,0,1,2,1,6,5,10,15,14,11,0,0,0,0,0
Mocca klein black to go,0,0,0,0,1,1,0,2,4,4,4,4,0,1,0,0,0
Mocca klein white here,0,0,1,4,3,4,8,9,8,8,6,4,7,3,0,0,0
Mocca klein white to go,0,0,0,2,2,5,5,3,6,2,5,5,1,0,1,0,0
MoccaSin here,0,0,0,3,2,0,2,1,0,1,2,3,0,0,0,0,0
MoccaSin to go,0,0,0,1,0,0,0,2,2,1,6,0,1,0,0,0,0
Muffin here,0,7,31,12,19,51,39,90,101,121,145,97,59,31,0,0,0
Muffin to go,0,5,7,9,11,22,14,34,33,41,90,30,10,3,2,0,0
M¸sli here,0,0,1,1,0,1,1,1,2,0,3,0,1,0,0,0,0
M¸sli to go,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Nebenprodukte MoccaSin Chocolate white to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nebenprodukte Sirup groﬂ here,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nebenprodukte Sirup groﬂ to go,0,0,0,0,0,1,1,0,1,0,2,0,1,3,0,0,0
Preis here,0,1,1,2,1,1,7,6,2,8,4,3,0,2,0,0,0
Preis to go,0,0,0,1,0,4,1,3,6,2,3,4,3,1,0,0,0
Smoothie plain here,0,0,0,1,1,4,6,14,10,6,14,19,4,4,0,0,0
Smoothie plain to go,0,0,0,0,0,2,2,5,5,12,4,6,6,0,1,0,0
Softdrink Bionade here,0,0,0,0,0,1,5,6,8,11,12,3,2,4,0,0,0
Softdrink Bionade to go,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Softdrink Bottle AFG here,0,0,0,2,4,6,11,17,14,20,28,22,10,7,0,0,0
Softdrink Bottle AFG to go,0,0,0,0,0,0,0,3,4,3,2,2,0,0,0,0,0
Softdrink Wasser here,0,0,0,2,4,7,12,7,5,14,7,9,3,3,0,0,0
Softdrink Wasser to go,0,0,0,0,1,1,1,1,3,0,2,0,0,0,1,0,0
Special Latte Chocolate Latte here,0,0,2,1,6,1,3,2,11,7,7,10,4,5,0,0,0
Special Latte Chocolate Latte to go,0,0,0,0,1,0,0,0,3,3,7,2,0,0,0,0,0
Special Latte Latte Caramel here,0,0,1,6,6,17,19,32,39,40,61,49,25,14,0,0,0
Special Latte Latte Caramel to go,0,1,1,1,1,3,8,7,10,14,17,10,5,3,0,0,0
Special Latte Tiramisu Latte here,0,0,0,2,0,1,4,2,1,0,6,2,2,2,0,0,0
Special Latte Tiramisu Latte to go,0,0,0,0,0,0,0,2,0,1,2,5,0,1,0,0,0
Special Latte White Banana Chocolate here,0,0,0,0,3,0,5,5,4,0,9,8,8,2,0,0,0
Special Latte White Banana Chocolate to go,0,0,0,0,0,1,0,0,1,3,3,3,0,3,0,0,0
Tea here,0,0,2,4,4,9,14,23,12,17,31,21,11,5,0,0,0
Tea to go,0,0,2,0,1,3,5,4,3,2,1,6,0,0,0,0,0
